word,word_type,color,stim_condition,correct_resp,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instr_text.started,Instructions.stopped,trial.started,fixation.started,fixation.stopped,word_stim.started,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,Thanks.started,text.started,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.010813700035214424,0.02448490000097081,2.0111303000012413,,,,,,,,,,,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Stone,neutral,yellow,I,y,0,0,0,y,1,1.5350409999955446,None,0,0,0,19,2.057328300026711,,,,,2.039790600014385,2.057328300026711,2.507918899995275,2.507918899995275,2.507918899995275,4.075064500037115,y,1,1.5350409999955446,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Pencil,neutral,green,I,g,1,1,0,g,1,1.4325543000013568,None,0,1,1,14,4.090603600023314,,,,,4.078619000036269,4.090603600023314,4.575140000029933,4.575140000029933,4.575140000029933,6.01180460001342,g,1,1.4325543000013568,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Table,neutral,blue,I,b,2,2,0,b,1,1.0838545000297017,None,0,2,2,13,6.024899400013965,,,,,6.014596900029574,6.024899400013965,6.524511000025086,6.524511000025086,6.524511000025086,7.611189200018998,b,1,1.0838545000297017,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Sadness,emotional,yellow,I,y,3,3,0,y,1,0.7396396999829449,None,0,3,3,7,7.624226899992209,,,,,7.614026900031604,7.624226899992209,8.124201000027824,8.124201000027824,8.124201000027824,8.877340400009416,y,1,0.7396396999829449,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Fear,emotional,red,C,r,4,4,0,r,1,1.4695357999880798,None,0,4,4,0,8.890582600026391,,,,,8.88259970000945,8.890582600026391,9.391608600039035,9.391608600039035,9.391608600039035,10.861720899993088,r,1,1.4695357999880798,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Road,neutral,green,I,g,5,5,0,g,1,1.6222259999485686,None,0,5,5,18,10.87283380003646,,,,,10.86529490002431,10.87283380003646,11.373361300036777,11.373361300036777,11.373361300036777,12.996382500045002,g,1,1.6222259999485686,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Violence,emotional,blue,I,b,6,6,0,b,1,1.2838648000033572,None,0,6,6,9,13.024639500014018,,,,,13.00285150000127,13.024639500014018,13.507502700027544,13.507502700027544,13.507502700027544,14.794316000014078,b,1,1.2838648000033572,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Window,neutral,red,I,r,7,7,0,r,1,0.7849712999886833,None,0,7,7,12,14.807522899995092,,,,,14.797185000032187,14.807522899995092,15.30794040003093,15.30794040003093,15.30794040003093,16.094762600027025,r,1,0.7849712999886833,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Chair,neutral,green,I,g,8,8,0,g,1,0.9946293999673799,None,0,8,8,10,16.107440599997062,,,,,16.097870199999306,16.107440599997062,16.60738920001313,16.60738920001313,16.60738920001313,17.611020500015,g,1,0.9946293999673799,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Injury,emotional,green,I,g,9,9,0,g,1,0.7048232000088319,None,0,9,9,6,17.623411800013855,,,,,17.616250200022478,17.623411800013855,18.123588300019037,18.123588300019037,18.123588300019037,18.844352999993134,g,1,0.7048232000088319,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Threat,emotional,blue,I,b,10,10,0,b,1,1.3015295999939553,None,0,10,10,5,18.858561400033068,,,,,18.847476200025994,18.858561400033068,19.35757290001493,19.35757290001493,19.35757290001493,20.661642400023993,b,1,1.3015295999939553,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Death,emotional,green,I,g,11,11,0,g,1,1.7711194999865256,None,0,11,11,2,20.68985910003539,,,,,20.66821960004745,20.68985910003539,21.173336400010157,21.173336400010157,21.173336400010157,22.962265600042883,g,1,1.7711194999865256,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Paper,neutral,yellow,I,y,12,12,0,y,1,1.02913769998122,None,0,12,12,15,22.974256100016646,,,,,22.96637949999422,22.974256100016646,23.473785700043663,23.473785700043663,23.473785700043663,24.51051470002858,y,1,1.02913769998122,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Anger,emotional,red,C,r,13,13,0,r,1,0.9632191000273451,None,0,13,13,8,24.523327700037044,,,,,24.5135777000105,24.523327700037044,25.023712099995464,25.023712099995464,25.023712099995464,25.99397010001121,r,1,0.9632191000273451,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Pain,emotional,blue,I,b,14,14,0,b,1,0.993037500011269,None,0,14,14,1,26.007223599997815,,,,,25.99654580000788,26.007223599997815,26.506677200028207,26.506677200028207,26.506677200028207,27.510247500031255,b,1,0.993037500011269,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Bottle,neutral,yellow,I,y,15,15,0,y,1,0.9234983999631368,None,0,15,15,11,27.524497600039467,,,,,27.513414700049907,27.524497600039467,28.023710200039204,28.023710200039204,28.023710200039204,28.960202300047968,y,1,0.9234983999631368,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Garden,neutral,red,I,r,16,16,0,r,1,0.6487843000213616,None,0,16,16,16,28.97371089999797,,,,,28.962873600015882,28.97371089999797,29.474675800011028,29.474675800011028,29.474675800011028,30.126941599999554,r,1,0.6487843000213616,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Panic,emotional,yellow,I,y,17,17,0,y,1,1.0565166000160389,None,0,17,17,3,30.141102300025523,,,,,30.12971320003271,30.141102300025523,30.64011490001576,30.64011490001576,30.64011490001576,31.710906199994497,y,1,1.0565166000160389,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Abuse,emotional,red,C,r,18,18,0,r,1,0.6228121999884024,None,0,18,18,4,31.723213899997063,,,,,31.71354240004439,31.723213899997063,32.22332200000528,32.22332200000528,32.22332200000528,32.8603146999958,r,1,0.6228121999884024,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Book,neutral,blue,I,b,19,19,0,b,1,0.750710699998308,None,0,19,19,17,32.87347769999178,,,,,32.86281960003544,32.87347769999178,33.37304590002168,33.37304590002168,33.37304590002168,34.1265904000029,b,1,0.750710699998308,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Anger,emotional,red,C,r,20,0,1,r,1,0.9869223000132479,None,1,0,20,8,34.140098900010344,,,,,34.13129620003747,34.140098900010344,34.63992780004628,34.63992780004628,34.63992780004628,35.62810560001526,r,1,0.9869223000132479,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Panic,emotional,yellow,I,y,21,1,1,y,1,1.5155499000102282,None,1,1,21,3,35.63995020004222,,,,,35.631956800003536,35.63995020004222,36.13995129999239,36.13995129999239,36.13995129999239,37.66056260000914,y,1,1.5155499000102282,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Sadness,emotional,yellow,I,y,22,2,1,y,1,0.6568033000221476,None,1,2,22,7,37.67328540002927,,,,,37.6634232000215,37.67328540002927,38.172922600002494,38.172922600002494,38.172922600002494,38.84352070000023,y,1,0.6568033000221476,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Paper,neutral,yellow,I,y,23,3,1,y,1,0.5791797999991104,None,1,3,23,15,38.85675690002972,,,,,38.847112100047525,38.85675690002972,39.356361200043466,39.356361200043466,39.356361200043466,39.94302860001335,y,1,0.5791797999991104,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
Table,neutral,blue,I,b,24,4,1,b,1,0.8808814000221901,None,1,4,24,13,39.95638620003592,,,,,39.945968999993056,39.95638620003592,40.45679460000247,40.45679460000247,40.45679460000247,41.34363670001039,b,1,0.8808814000221901,None,,,,1,001,2025-11-18_20h03.11.027,emotional stroop_untitled,,2025.1.1,59.7787230709264,2025-11-18 20h03.45.044066 +0530,
