delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,400,unexp,0,0,0,space,0.392013399861753,None,400,1,[3.8790398999117315],[3.8790555000305176],0,0,0,1,0.03689240012317896,,0.025628400035202503,0.03689240012317896,0.9925800999626517,0.9925800999626517,1.0271556000225246,1.3957958002574742,space,0.392013399861753,None,1.3964599999599159,1.7980540665487448,2.117156300228089,2.0993208000436425,2.100245799869299,2.117156300228089,2.117156300228089,2.117156300228089,5.996683800127357,400,1,[3.8790398999117315],[3.8790555000305176],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,1,1,0,space,0.6912825000472367,None,550,1,[3.8722660997882485],[3.872281899675727],0,1,1,10,6.003179700113833,,5.99712760001421,6.003179700113833,6.98936970019713,6.98936970019713,6.996330900117755,7.684282000176609,space,0.6912825000472367,None,7.685247000306845,8.08395526657502,8.402110800147057,8.388057200238109,8.38879289990291,8.402110800147057,8.402110800147057,8.402110800147057,12.274877400137484,550,1,[3.8722660997882485],[3.872281899675727],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,2,2,0,space,0.903783599846065,None,560,1,[3.3507477999664843],[3.350756799802184],0,2,2,9,12.281289800070226,,12.275278100278229,12.281289800070226,13.267386100254953,13.267386100254953,13.274328799918294,14.177166200242937,space,0.903783599846065,None,14.177768799941987,14.277098766590159,14.59498060029,14.576338999904692,14.576888300012797,14.59498060029,14.59498060029,14.59498060029,17.946057500317693,560,1,[3.3507477999664843],[3.350756799802184],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,3,3,0,space,0.8502954998984933,None,600,1,[4.236635200213641],[4.236644099932164],0,3,3,8,17.953022700268775,,17.946318400092423,17.953022700268775,18.93891100026667,18.93891100026667,18.945876399986446,19.793614800088108,space,0.8502954998984933,None,19.794611600227654,20.498193566749492,20.81602540006861,20.7985379002057,20.799035500269383,20.81602540006861,20.81602540006861,20.81602540006861,25.053002000320703,600,1,[4.236635200213641],[4.236644099932164],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,4,4,0,space,0.6196060003712773,None,700,1,[3.6774948998354375],[3.677509999834001],0,4,4,7,25.059038900304586,,25.053318799939007,25.059038900304586,26.04569109994918,26.04569109994918,26.052562000229955,26.67090820008889,space,0.6196060003712773,None,26.671951700001955,27.076507866910347,27.39500669995323,27.376360999885947,27.376853700261563,27.39500669995323,27.39500669995323,27.39500669995323,31.07284240005538,700,1,[3.6774948998354375],[3.677509999834001],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,5,5,0,space,0.2919928999617696,None,600,1,[3.222087500151247],[3.2221023999154568],0,5,5,5,31.079336400143802,,31.073102000169456,31.079336400143802,32.06542399991304,32.06542399991304,32.07248570024967,32.36444099992514,space,0.2919928999617696,None,32.36512449989095,33.06923566671709,33.38803490018472,33.37238890025765,33.373071799986064,33.38803490018472,33.38803490018472,33.38803490018472,36.610605500172824,600,1,[3.222087500151247],[3.2221023999154568],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,6,6,0,space,0.23462440026924014,None,650,1,[3.699653699994087],[3.699670100118965],0,6,6,3,36.61670760018751,,36.611002299934626,36.61670760018751,37.60282470006496,37.60282470006496,37.609790599904954,37.83942979993299,space,0.23462440026924014,None,37.84001370007172,37.93901236687476,38.25690300017595,38.23865430010483,38.23919739993289,38.25690300017595,38.25690300017595,38.25690300017595,41.957008600234985,650,1,[3.699653699994087],[3.699670100118965],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,7,7,0,space,0.23611880000680685,None,500,1,[2.673321499954909],[2.673337500076741],0,7,7,6,41.962787200231105,,41.95740649988875,41.962787200231105,42.94896240020171,42.94896240020171,42.95588600030169,43.185574600007385,space,0.23611880000680685,None,43.18616800010204,43.285153666573265,43.602602399885654,43.58895900007337,43.58934030029923,43.602602399885654,43.602602399885654,43.602602399885654,46.276386899873614,500,1,[2.673321499954909],[2.673337500076741],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,400,unexp,8,8,0,space,0.2779835001565516,None,400,1,[2.262586100026965],[2.262595099862665],0,8,8,2,46.282812200021,,46.276755900122225,46.282812200021,47.26906270021573,47.26906270021573,47.27615400031209,47.55401810025796,space,0.2779835001565516,None,47.554598100017756,48.257970366689065,48.575807500164956,48.559749300125986,48.56037469999865,48.575807500164956,48.575807500164956,48.575807500164956,50.83886589994654,400,1,[2.262586100026965],[2.262595099862665],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,400,unexp,9,9,0,space,0.86703069973737,None,350,1,[3.3443688000552356],[3.3443843997083604],0,9,9,0,50.84535770025104,,50.83926470018923,50.84535770025104,51.82829060032964,51.82829060032964,51.835330500267446,52.69735120004043,space,0.86703069973737,None,52.6980817001313,52.79694826674337,53.11444520018995,53.10044370032847,53.10096770012751,53.11444520018995,53.11444520018995,53.11444520018995,56.45929240016267,350,1,[3.3443688000552356],[3.3443843997083604],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
