word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.01940180000383407,0.058489799965173006,1.0045437999651767,,,,,,,,,,,,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,blue,C,b,0,0,0,b,1,8.946851200016681,None,0,0,0,3,1.0279312999919057,,,,,1.0229264000081457,1.0279312999919057,1.508115499978885,1.508115499978885,1.508115499978885,5.994974799978081,10.48546479997458,b,1,8.946851200016681,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,red,C,r,1,1,0,r,1,1.0670106000034139,None,0,1,1,0,10.50767929997528,,,,,10.492733299965039,10.50767929997528,10.987074799952097,10.987074799952097,10.987074799952097,,12.067071500001475,r,1,1.0670106000034139,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,blue,I,b,2,2,0,b,1,1.109970899997279,None,0,2,2,1,12.0774491999764,,,,,12.067607200006023,12.0774491999764,12.563451099966187,12.563451099966187,12.563451099966187,,13.685163499962073,b,1,1.109970899997279,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,red,I,r,3,3,0,r,1,0.81387089996133,None,0,3,3,2,13.695165699988138,,,,,13.688406599976588,13.695165699988138,14.181487299967557,14.181487299967557,14.181487299967557,,15.004333599994425,r,1,0.81387089996133,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,blue,C,b,4,0,1,b,1,0.7479547000257298,None,1,0,4,3,15.014717899961397,,,,,15.004814499989152,15.014717899961397,15.507992699975148,15.507992699975148,15.507992699975148,,16.262029199977405,b,1,0.7479547000257298,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,red,I,r,5,1,1,r,1,0.8171488000079989,None,1,1,5,2,16.271694399998523,,,,,16.26289159996668,16.271694399998523,16.771701999998186,16.771701999998186,16.771701999998186,,17.59389919997193,r,1,0.8171488000079989,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,red,C,r,6,2,1,r,1,0.7264168999972753,None,1,2,6,0,17.604278199956752,,,,,17.596590299974196,17.604278199956752,18.083686499972828,18.083686499972828,18.083686499972828,,18.81606569996802,r,1,0.7264168999972753,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
RED,blue,I,b,7,3,1,b,1,0.7291341000236571,None,1,3,7,1,18.82644039997831,,,,,18.816499499953352,18.82644039997831,19.306195299956016,19.306195299956016,19.306195299956016,,20.03870489995461,b,1,0.7291341000236571,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.5699938000179827,None,2,0,8,3,20.048677299986593,,,,,20.041592800000217,20.048677299986593,20.53506769996602,20.53506769996602,20.53506769996602,,21.107860599993728,b,1,0.5699938000179827,None,,,,,1,001,2025-08-24_18h24.16.866,stroop,,2025.1.1,None,2025-08-24 18h24.28.615349 +0530,
