thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,down,1,1.1892628998029977,None,-3,0,0,0,0,0.032733399886637926,,0.020645499927923083,0.032733399886637926,1.0304272000212222,1.0486600999720395,2.267059399979189,down,1,1.1892628998029977,None,-3,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
1,0,1,up,1,0.9299574999604374,None,0,1,0,1,0,2.2818413998465985,,2.2673765998333693,2.2818413998465985,3.282155499793589,3.282155499793589,4.219173099845648,up,1,0.9299574999604374,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
2,0,2,up,1,0.20293670007959008,None,0,2,0,2,0,4.23172269994393,,4.219442899804562,4.23172269994393,5.232099999906495,5.232099999906495,5.436923299916089,up,1,0.20293670007959008,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
3,0,3,down,1,0.9016731001902372,None,4,3,0,3,0,5.448179799830541,,5.437233499949798,5.448179799830541,6.4483419000171125,6.4483419000171125,7.352651099907234,down,1,0.9016731001902372,None,4,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
4,0,4,down,1,1.1383730000816286,None,-2,4,0,4,0,7.364732799818739,,7.353032799903303,7.364732799818739,8.364430699963123,8.364430699963123,9.519184899982065,down,1,1.1383730000816286,None,-2,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
5,0,5,up,1,0.7859110001008958,None,0,5,0,5,0,9.5313360998407,,9.519536799984053,9.5313360998407,10.53140449989587,10.53140449989587,11.318962199846283,up,1,0.7859110001008958,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
6,0,6,down,1,0.6233578999526799,None,-3,6,0,6,0,11.331537599908188,,11.319297699956223,11.331537599908188,12.331917099887505,12.331917099887505,12.970363199943677,down,1,0.6233578999526799,None,-3,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
7,0,7,down,0,0.7468808998819441,None,0,7,0,7,0,12.98179669980891,,12.97082919999957,12.98179669980891,13.981277599930763,13.981277599930763,14.733571799937636,down,0,0.7468808998819441,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
8,0,8,down,1,0.9589153002016246,None,4,8,0,8,0,14.746647899970412,,14.733816399937496,14.746647899970412,15.747690499993041,15.747690499993041,16.71868299995549,down,1,0.9589153002016246,None,4,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
9,0,9,up,1,0.9411534001119435,None,0,9,0,9,0,16.731561199994758,,16.718961499864236,16.731561199994758,17.847599499858916,17.847599499858916,18.801999899791554,up,1,0.9411534001119435,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
10,0,10,up,1,1.3093183999881148,None,0,10,0,10,0,18.814668599981815,,18.80227699992247,18.814668599981815,19.815353899961337,19.815353899961337,21.13520079990849,up,1,1.3093183999881148,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
11,0,11,up,1,0.8969565001316369,None,0,11,0,11,0,21.14833359979093,,21.135586199816316,21.14833359979093,22.14781709993258,22.14781709993258,23.051978199975565,up,1,0.8969565001316369,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
12,0,12,down,1,1.001140900189057,None,4,12,0,12,0,23.064398999791592,,23.05228429986164,23.064398999791592,24.064593499992043,24.064593499992043,25.068976199952886,down,1,1.001140900189057,None,4,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
13,0,13,up,1,0.8093449000734836,None,0,13,0,13,0,25.081713899970055,,25.069248699815944,25.081713899970055,26.080701499944553,26.097296599997208,26.901140799978748,up,1,0.8093449000734836,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
14,0,14,up,0,1.4342219000682235,None,1,14,0,14,0,26.91446409979835,,26.90146610001102,26.91446409979835,27.913756699999794,27.913756699999794,29.350994699867442,up,0,1.4342219000682235,None,1,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
15,0,15,up,0,0.7205719999037683,None,1,15,0,15,0,29.364384099841118,,29.351307899923995,29.364384099841118,30.364108899841085,30.364108899841085,31.101029299898073,up,0,0.7205719999037683,None,1,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
16,0,16,down,1,0.5845822000410408,None,4,16,0,16,0,31.114669599803165,,31.101341399829835,31.114669599803165,32.11388859990984,32.11388859990984,32.70163489994593,down,1,0.5845822000410408,None,4,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
17,0,17,down,1,1.0673473000060767,None,1,17,0,17,0,32.7142227999866,,32.701942099956796,32.7142227999866,33.71371559984982,33.71371559984982,34.78484459989704,down,1,1.0673473000060767,None,1,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
18,0,18,up,1,0.8073974000290036,None,0,18,0,18,0,34.79735929984599,,34.78518559993245,34.79735929984599,35.7969421998132,35.7969421998132,36.61798829981126,up,1,0.8073974000290036,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
19,0,19,down,0,0.8848180999048054,None,0,19,0,19,0,36.630634599830955,,36.61823989986442,36.630634599830955,37.63005999987945,37.63005999987945,38.51794739998877,down,0,0.8848180999048054,None,0,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
20,0,20,down,1,1.000557699939236,None,4,20,0,20,0,38.53070279979147,,38.518248699838296,38.53070279979147,39.53075449983589,39.53075449983589,40.53441650001332,down,1,1.000557699939236,None,4,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
21,0,21,up,0,0.7689271001145244,None,3,21,0,21,0,40.54710409999825,,40.534747099969536,40.54710409999825,41.5469261999242,41.5469261999242,42.31718149990775,up,0,0.7689271001145244,None,3,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
22,0,22,up,0,1.2454326001461595,None,1,22,0,22,0,42.33020229986869,,42.31749099981971,42.33020229986869,43.33026239997707,43.33026239997707,44.58318189997226,up,0,1.2454326001461595,None,1,1,001,2025-09-11_09h39.14.095,untitled,,2025.1.1,59.821671645703866,2025-09-11 09h39.22.235184 +0530,
