word,word_type,color,stim_condition,correct_resp,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instr_text.started,Instructions.stopped,trial.started,fixation.started,fixation.stopped,word_stim.started,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,Thanks.started,text.started,text.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.013884300016798079,0.027891600038856268,2.0152520000119694,,,,,,,,,,,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Abuse,emotional,red,C,r,0,0,0,r,1,1.5202339999959804,None,0,0,0,4,2.0614875000319444,,,,,2.040357000019867,2.0614875000319444,2.5114180000382476,2.5114180000382476,2.5114180000382476,4.052272500004619,r,1,1.5202339999959804,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Paper,neutral,yellow,I,y,1,1,0,y,1,1.0499416000093333,None,0,1,1,15,4.059950900031254,,,,,4.0553823000518605,4.059950900031254,4.560219300037716,4.560219300037716,4.560219300037716,5.613390900020022,y,1,1.0499416000093333,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Table,neutral,blue,I,b,2,2,0,b,1,0.8622455000295304,None,0,2,2,13,5.627163000055589,,,,,5.616510100022424,5.627163000055589,6.127907300018705,6.127907300018705,6.127907300018705,6.996234100020956,b,1,0.8622455000295304,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Chair,neutral,green,I,g,3,3,0,g,1,1.0147866999614052,None,0,3,3,10,7.010670600051526,,,,,6.998675000038929,7.010670600051526,7.511395500041544,7.511395500041544,7.511395500041544,8.532033500028774,g,1,1.0147866999614052,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Pain,emotional,blue,I,b,4,4,0,b,1,0.9382158999796957,None,0,4,4,1,8.727123000018764,,,,,8.674372300039977,8.727123000018764,9.044633000041358,9.044633000041358,9.044633000041358,9.99762910004938,b,1,0.9382158999796957,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Book,neutral,blue,I,b,5,5,0,b,1,0.5977298999787308,None,0,5,5,17,10.010713600029703,,,,,10.000264800037257,10.010713600029703,10.511186200019438,10.511186200019438,10.511186200019438,11.114550600002985,b,1,0.5977298999787308,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Road,neutral,green,I,g,6,6,0,g,1,1.0057891000178643,None,0,6,6,18,11.12796700000763,,,,,11.117789600044489,11.12796700000763,11.627320200030226,11.627320200030226,11.627320200030226,12.647662000032142,g,1,1.0057891000178643,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Pencil,neutral,green,I,g,7,7,0,g,1,0.562352099979762,None,0,7,7,14,12.660896200046409,,,,,12.650372500007506,12.660896200046409,13.160557100025471,13.160557100025471,13.160557100025471,13.731278300052509,g,1,0.562352099979762,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Fear,emotional,red,C,r,8,8,0,r,1,1.0446540000266396,None,0,8,8,0,13.743663700006437,,,,,13.735909500042908,13.743663700006437,14.247088600008283,14.247088600008283,14.247088600008283,15.29757170000812,r,1,1.0446540000266396,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
Sadness,emotional,yellow,I,y,9,9,0,y,1,1.0163888999959454,None,0,9,9,7,15.31089260004228,,,,,15.300674800004344,15.31089260004228,15.810509100032505,15.810509100032505,15.810509100032505,16.833100500050932,y,1,1.0163888999959454,None,,,,,2,001,2025-11-18_20h17.36.442,emotional stroop_untitled,,2025.1.1,59.45639022400648,2025-11-18 20h17.41.541747 +0530,
