word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.020867599989287555,0.03167080000275746,1.0067527000210248,,,,,,,,,,,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,blue,I,b,0,0,0,b,1,1.078884799964726,None,0,0,0,1,1.0309816999942996,,,,,1.0207146999891847,1.0309816999942996,1.5030900000128895,1.5030900000128895,1.5030900000128895,2.5963896000175737,b,1,1.078884799964726,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,red,I,r,1,1,0,r,1,1.3439445000258274,None,0,1,1,2,2.6067584000411443,,,,,2.6005815000389703,2.6067584000411443,3.0932922000065446,3.0932922000065446,3.0932922000065446,4.443852500000503,r,1,1.3439445000258274,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,blue,C,b,2,2,0,b,1,0.5884458000073209,None,0,2,2,3,4.454910600034054,,,,,4.44433890003711,4.454910600034054,4.934008900017943,4.934008900017943,4.934008900017943,5.527282099996228,b,1,0.5884458000073209,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,red,C,r,3,3,0,r,1,0.4563800999894738,None,0,3,3,0,5.537756100005936,,,,,5.529659499996342,5.537756100005936,6.024395500018727,6.024395500018727,6.024395500018727,6.485649699985515,r,1,0.4563800999894738,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,red,I,r,4,0,1,r,1,0.7637306000106037,None,1,0,4,2,6.496563200023957,,,,,6.4881661999970675,6.496563200023957,6.9831754000042565,6.9831754000042565,6.9831754000042565,7.749883799988311,r,1,0.7637306000106037,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.560452500008978,None,1,1,5,3,7.760346600029152,,,,,7.750511099991854,7.760346600029152,8.246140900009777,8.246140900009777,8.246140900009777,8.812426700023934,b,1,0.560452500008978,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,blue,I,b,6,2,1,r,0,0.6011088999803178,None,1,2,6,1,8.822186400007922,,,,,8.814941000018734,8.822186400007922,9.308504400018137,9.308504400018137,9.308504400018137,9.915734200039878,r,0,0.6011088999803178,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,red,C,r,7,3,1,r,1,0.6130722999805585,None,1,3,7,0,9.920025100000203,,,,,9.916161800036207,9.920025100000203,10.412982400041074,10.412982400041074,10.412982400041074,11.027494999987539,r,1,0.6130722999805585,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.6144122999976389,None,2,0,8,3,11.037835800030734,,,,,11.03024860000005,11.037835800030734,11.517118000017945,11.517118000017945,11.517118000017945,12.145785500004422,b,1,0.6144122999976389,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,red,I,r,9,1,2,r,1,0.4674818000057712,None,2,1,9,2,12.156298900023103,,,,,12.146207900019363,12.156298900023103,12.64209059998393,12.64209059998393,12.64209059998393,13.110682099999394,r,1,0.4674818000057712,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,red,C,r,10,2,2,r,1,0.6486850999644957,None,2,2,10,0,13.120923799986485,,,,,13.113104399992153,13.120923799986485,13.600504200032447,13.600504200032447,13.600504200032447,14.256565399991814,r,1,0.6486850999644957,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,blue,I,b,11,3,2,b,1,0.47226020001107827,None,2,3,11,1,14.267264900030568,,,,,14.256999900040682,14.267264900030568,14.746267499984242,14.746267499984242,14.746267499984242,15.221728200034704,b,1,0.47226020001107827,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,red,I,r,12,0,3,r,1,0.9662442999542691,None,3,0,12,2,15.232156499987468,,,,,15.224109600007068,15.232156499987468,15.718464700039476,15.718464700039476,15.718464700039476,16.68688789999578,r,1,0.9662442999542691,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,blue,I,b,13,1,3,b,1,0.5929089999990538,None,3,1,13,1,16.697155700006988,,,,,16.689271399984136,16.697155700006988,17.177122800028883,17.177122800028883,17.177122800028883,17.77764099999331,b,1,0.5929089999990538,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,blue,C,b,14,2,3,b,1,0.4441954999929294,None,3,2,14,3,17.78815239999676,,,,,17.780553099990357,17.78815239999676,18.27410239999881,18.27410239999881,18.27410239999881,18.721543600026052,b,1,0.4441954999929294,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,red,C,r,15,3,3,r,1,0.4785907000186853,None,3,3,15,0,18.731968700012658,,,,,18.723862199985888,18.731968700012658,19.21880610001972,19.21880610001972,19.21880610001972,19.700702300004195,r,1,0.4785907000186853,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,blue,I,b,16,0,4,b,1,0.5700888999854214,None,4,0,16,1,19.710977000009734,,,,,19.701132800022606,19.710977000009734,20.190422600018792,20.190422600018792,20.190422600018792,20.763125900004525,b,1,0.5700888999854214,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
RED,red,C,r,17,1,4,r,1,0.4368880999973044,None,4,1,17,0,20.77397949999431,,,,,20.763537399994675,20.77397949999431,21.260448799992446,21.260448799992446,21.260448799992446,21.700655599997845,r,1,0.4368880999973044,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
BLUE,blue,C,b,18,2,4,b,1,0.5451950000133365,None,4,2,18,3,21.7109626000165,,,,,21.702995800005738,21.7109626000165,22.190684900037013,22.190684900037013,22.190684900037013,22.749455099983606,b,1,0.5451950000133365,None,,,,,2,001,2025-08-24_18h25.35.305,stroop,,2025.1.1,None,2025-08-24 18h25.42.933566 +0530,
