word,word_type,color,stim_condition,correct_resp,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instr_text.started,Instructions.stopped,trial.started,fixation.started,fixation.stopped,word_stim.started,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,word_stim.stopped,Thanks.started,text.started,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.016078700020443648,0.029646600014530122,2.0157962000230327,,,,,,,,,,,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Road,neutral,green,I,g,0,0,0,g,1,1.3293216000311077,None,0,0,0,18,2.06183510000119,,,,,2.0535404999973252,2.06183510000119,2.511848399997689,2.511848399997689,2.511848399997689,3.848957200010773,g,1,1.3293216000311077,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Paper,neutral,yellow,I,y,1,1,0,y,1,0.8049089999985881,None,0,1,1,15,3.862156099989079,,,,,3.851792600005865,3.862156099989079,4.362165800004732,4.362165800004732,4.362165800004732,5.182978999975603,y,1,0.8049089999985881,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Stone,neutral,yellow,I,y,2,2,0,y,1,0.474719499994535,None,0,2,2,19,5.195368700020481,,,,,5.185913400026038,5.195368700020481,5.69603009999264,5.69603009999264,5.69603009999264,6.1824280000291765,y,1,0.474719499994535,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Pain,emotional,blue,I,b,3,3,0,b,1,0.7366486000246368,None,0,3,3,1,6.195531499979552,,,,,6.185158799984492,6.195531499979552,6.695118299976457,6.695118299976457,6.695118299976457,7.432815200008918,b,1,0.7366486000246368,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Pencil,neutral,green,I,g,4,4,0,g,1,0.7685902999946848,None,0,4,4,14,7.444981699984055,,,,,7.436187700019218,7.444981699984055,7.945585499983281,7.945585499983281,7.945585499983281,8.715827199979685,g,1,0.7685902999946848,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Death,emotional,green,I,g,5,5,0,g,1,0.558634200016968,None,0,5,5,2,8.728217800031416,,,,,8.720951099996455,8.728217800031416,9.229679399984889,9.229679399984889,9.229679399984889,9.799453100014944,g,1,0.558634200016968,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Chair,neutral,green,I,g,6,6,0,g,1,0.4543825999717228,None,0,6,6,10,9.811931499978527,,,,,9.80413820000831,9.811931499978527,10.312206999980845,10.312206999980845,10.312206999980845,10.782523399975616,g,1,0.4543825999717228,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Abuse,emotional,red,C,r,7,7,0,r,1,0.45179670001380146,None,0,7,7,4,10.79491280001821,,,,,10.78601580002578,10.79491280001821,11.294972600007895,11.294972600007895,11.294972600007895,11.747524600010365,r,1,0.45179670001380146,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
Fear,emotional,red,C,r,8,8,0,r,1,0.4936458999873139,None,0,8,8,0,11.760318899992853,,,,,11.751612399995793,11.760318899992853,12.2617229000316,12.2617229000316,12.2617229000316,12.765429200022481,r,1,0.4936458999873139,None,,,,,4,001,2025-11-19_00h51.47.577,emotional stroop_untitled,,2025.1.1,59.99264491556864,2025-11-19 00h51.53.024765 +0530,
