study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytest.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,text_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,2.0052083333333335,1.1913356999866664,,,,,,,,,,,,0,0,0,9,,,,,0.06193949998123571,,0.038337200006935745,0.06193949998123571,0.06193949998123571,1.246018500009086,2.0052083333333335,1.1913356999866664,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
Poster,1,1,0,2.0052083333333335,0.12928809999721125,,,,,,,,,,,,0,1,1,14,,,,,1.2785369000048377,,1.251817399985157,1.2785369000048377,1.2785369000048377,1.3949982000049204,2.0052083333333335,0.12928809999721125,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
Chart,2,2,0,2.0052083333333335,0.12866960000246763,,,,,,,,,,,,0,2,2,6,,,,,1.427804799983278,,1.4004744000267237,1.427804799983278,1.427804799983278,1.5476602999842726,2.0052083333333335,0.12866960000246763,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
phone,3,3,0,2.0052083333333335,0.12495020002825186,,,,,,,,,,,,0,3,3,2,,,,,1.5783804000238888,,1.5543167000287212,1.5783804000238888,1.5783804000238888,1.6969128000200726,2.0052083333333335,0.12495020002825186,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
Cruise,4,4,0,2.0052083333333335,0.14752539998153225,,,,,,,,,,,,0,4,4,11,,,,,1.7279656999744475,,1.699871200020425,1.7279656999744475,1.7279656999744475,1.8615428999764845,2.0052083333333335,0.14752539998153225,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
mouse,5,5,0,2.0052083333333335,0.11629490001359954,,,,,,,,,,,,0,5,5,8,,,,,1.8771886000176892,,1.864481500000693,1.8771886000176892,1.8771886000176892,1.9952013000147417,2.0052083333333335,0.11629490001359954,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
T-shirt,6,6,0,2.0052083333333335,0.1622765000211075,,,,,,,,,,,,0,6,6,7,,,,,2.0116034999955446,,2.000685299979523,2.0116034999955446,2.0116034999955446,2.1795677000191063,2.0052083333333335,0.1622765000211075,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
cushion,7,7,0,2.0052083333333335,0.13102140004048124,,,,,,,,,,,,0,7,7,1,,,,,2.1946515000308864,,2.1825521999853663,2.1946515000308864,2.1946515000308864,2.3286078000091948,2.0052083333333335,0.13102140004048124,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
book,8,8,0,2.0052083333333335,0.14759549999143928,,,,,,,,,,,,0,8,8,0,,,,,2.344060499977786,,2.3313836000161245,2.344060499977786,2.344060499977786,2.4964107000268996,2.0052083333333335,0.14759549999143928,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
Keys,9,9,0,2.0052083333333335,0.14661769999656826,,,,,,,,,,,,0,9,9,13,,,,,2.5281985999899916,,2.500880000006873,2.5281985999899916,2.5281985999899916,2.6636643999954686,2.0052083333333335,0.14661769999656826,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
Case,10,10,0,2.0052083333333335,0.12914459995226935,,,,,,,,,,,,0,10,10,10,,,,,2.6946883000200614,,2.668236800003797,2.6946883000200614,2.6946883000200614,2.813489100022707,2.0052083333333335,0.12914459995226935,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
board,11,11,0,2.0052083333333335,0.3096242999890819,,,,,,,,,,,,0,11,11,4,,,,,2.8443571000243537,,2.819508599990513,2.8443571000243537,2.8443571000243537,3.145568599982653,2.0052083333333335,0.3096242999890819,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
marble,12,12,0,2.0052083333333335,0.1315945999813266,,,,,,,,,,,,0,12,12,3,,,,,3.1605411000200547,,3.148586500028614,3.1605411000200547,3.1605411000200547,3.294710199988913,2.0052083333333335,0.1315945999813266,,,,,,,,,,,,,,,,4,001,2025-10-16_16h59.44.869,untitled,,2025.1.1,59.99437253389583,2025-10-16 16h59.50.088672 +0530,
