thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.17666666666666667)],[np.float64(0.08333333333333333)],[1],[0],[0],[2.4354756001848727],['target'],0,0,0,0,0.024218800012022257,,5,0.015862700063735247,0.024218800012022257,0.024218800012022257,0.015882400097325444,2.451379699865356,[np.float64(-0.17666666666666667)],[np.float64(0.08333333333333333)],[1],[0],[0],[2.4354756001848727],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
1,0,1,[np.float64(0.16666666666666666)],[np.float64(0.26)],[1],[0],[0],[1.9009138999972492],['target'],1,0,1,0,2.476316399872303,,10,2.46665529999882,2.476316399872303,2.476316399872303,0.015197400003671646,4.3676128999795765,[np.float64(0.16666666666666666)],[np.float64(0.26)],[1],[0],[0],[1.9009138999972492],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
2,0,2,[np.float64(0.49333333333333335)],[np.float64(0.01)],[1],[0],[0],[2.0195052998606116],['target'],2,0,2,0,4.385344200069085,,5,4.376688699936494,4.385344200069085,4.385344200069085,0.008979599922895432,6.3962342999875546,[np.float64(0.49333333333333335)],[np.float64(0.01)],[1],[0],[0],[2.0195052998606116],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
3,0,3,[np.float64(-0.4583333333333333)],[np.float64(0.4716666666666667)],[1],[0],[0],[2.568231799872592],['target'],3,0,3,0,6.413802099879831,,5,6.403561200015247,6.413802099879831,6.413802099879831,0.007250000024214387,8.971832999959588,[np.float64(-0.4583333333333333)],[np.float64(0.4716666666666667)],[1],[0],[0],[2.568231799872592],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
4,0,4,[np.float64(-0.405)],[np.float64(0.021666666666666667)],[1],[0],[0],[1.658076000167057],['target'],4,0,4,0,8.989976400043815,,5,8.980268500046805,8.989976400043815,8.989976400043815,0.008358899969607592,10.638385399943218,[np.float64(-0.405)],[np.float64(0.021666666666666667)],[1],[0],[0],[1.658076000167057],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
5,0,5,[np.float64(-0.08833333333333333)],[np.float64(-0.205)],[1],[0],[0],[3.191813299898058],['target'],5,0,5,0,10.663438800023869,,10,10.65529330004938,10.663438800023869,10.663438800023869,0.016825299942865968,13.847145699895918,[np.float64(-0.08833333333333333)],[np.float64(-0.205)],[1],[0],[0],[3.191813299898058],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
6,0,6,[np.float64(0.42)],[np.float64(0.008333333333333333)],[1],[0],[0],[2.0198708998505026],['target'],6,0,6,0,13.865042199846357,,5,13.855396799976006,13.865042199846357,13.865042199846357,0.008157100062817335,15.875322500010952,[np.float64(0.42)],[np.float64(0.008333333333333333)],[1],[0],[0],[2.0198708998505026],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
7,0,7,[np.float64(-0.25666666666666665)],[np.float64(0.016666666666666666)],[1],[0],[0],[2.2123704000841826],['target'],7,0,7,0,15.89920139987953,,10,15.891665400005877,15.89920139987953,15.89920139987953,0.016233199974521995,18.104093099944293,[np.float64(-0.25666666666666665)],[np.float64(0.016666666666666666)],[1],[0],[0],[2.2123704000841826],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
8,0,8,[np.float64(0.11166666666666666)],[np.float64(0.255)],[1],[0],[0],[1.7192679001018405],['target'],8,0,8,0,18.1284258000087,,10,18.12066369992681,18.1284258000087,18.1284258000087,0.016462599858641624,19.839975900016725,[np.float64(0.11166666666666666)],[np.float64(0.255)],[1],[0],[0],[1.7192679001018405],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
9,0,9,[np.float64(-0.055)],[np.float64(0.4266666666666667)],[1],[0],[0],[1.7703317999839783],['target'],9,0,9,0,19.857764799846336,,5,19.848174300044775,19.857764799846336,19.857764799846336,0.008105199784040451,21.618549099890515,[np.float64(-0.055)],[np.float64(0.4266666666666667)],[1],[0],[0],[1.7703317999839783],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
10,0,10,[np.float64(-0.041666666666666664)],[np.float64(0.09833333333333333)],[1],[0],[0],[1.6021730001084507],['target'],10,0,10,0,21.63606070005335,,5,21.62696520006284,21.63606070005335,21.63606070005335,0.008344799978658557,23.229180800030008,[np.float64(-0.041666666666666664)],[np.float64(0.09833333333333333)],[1],[0],[0],[1.6021730001084507],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
11,0,11,[np.float64(-0.32)],[np.float64(0.47)],[1],[0],[0],[3.545745200011879],['target'],11,0,11,0,23.25431520002894,,10,23.245589700061828,23.25431520002894,23.25431520002894,0.01633589994162321,26.791374099906534,[np.float64(-0.32)],[np.float64(0.47)],[1],[0],[0],[3.545745200011879],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
12,0,12,[np.float64(-0.27166666666666667)],[np.float64(0.39166666666666666)],[1],[0],[0],[1.4218541998416185],['target'],12,0,12,0,26.815847599878907,,10,26.807455899892375,26.815847599878907,26.815847599878907,0.01599130011163652,28.22940899990499,[np.float64(-0.27166666666666667)],[np.float64(0.39166666666666666)],[1],[0],[0],[1.4218541998416185],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
13,0,13,[np.float64(-0.02)],[np.float64(0.4666666666666667)],[1],[0],[0],[1.5363379998598248],['target'],13,0,13,0,28.26079549989663,,10,28.247777599841356,28.26079549989663,28.26079549989663,0.018181300023570657,29.78416009992361,[np.float64(-0.02)],[np.float64(0.4666666666666667)],[1],[0],[0],[1.5363379998598248],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
