pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.5651310000102967,None,0,0,0,0,,,,,0.030010499991476536,,0.023359699873253703,0.030010499991476536,1.013661699835211,1.013661699835211,1.013661699835211,1.013661699835211,1.0298334998078644,2.03038389980793,2.03038389980793,2.6231909999623895,x,1,0.5651310000102967,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,1,1,0,v,1,0.8709527000319213,None,0,1,1,1,,,,,2.629402399994433,,2.6234765998087823,2.629402399994433,3.6299838998820633,3.6299838998820633,3.6299838998820633,3.6299838998820633,3.6299838998820633,4.6295613998081535,4.6295613998081535,5.515191199956462,v,1,0.8709527000319213,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,2,2,0,c,1,0.6434071001131088,None,0,2,2,2,,,,,5.5302206999622285,,5.515442099887878,5.5302206999622285,6.530186199815944,6.530186199815944,6.530186199815944,6.530186199815944,6.530186199815944,7.529830500017852,7.529830500017852,8.182079299818724,c,1,0.6434071001131088,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,3,3,0,z,1,0.4373266000766307,None,0,3,3,3,,,,,8.196041599847376,,8.182382799917832,8.196041599847376,9.196036000037566,9.196036000037566,9.196036000037566,9.196036000037566,9.196036000037566,10.195785799995065,10.195785799995065,10.649626899976283,z,1,0.4373266000766307,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,4,0,1,x,1,0.5426532002165914,None,1,0,4,0,,,,,10.663304299814627,,10.649866999825463,10.663304299814627,11.662914499873295,11.662914499873295,11.662914499873295,11.662914499873295,11.662914499873295,12.662498599849641,12.662498599849641,13.21534729981795,x,1,0.5426532002165914,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,5,1,1,v,1,0.7500050999224186,None,1,1,5,1,,,,,13.229410900035873,,13.21558679989539,13.229410900035873,14.229130699997768,14.229130699997768,14.229130699997768,14.229130699997768,14.229130699997768,15.229439199902117,15.229439199902117,15.981408399995416,v,1,0.7500050999224186,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,6,2,1,c,1,0.6495536998845637,None,1,2,6,2,,,,,15.995934299891815,,15.981658400036395,15.995934299891815,16.996740999864414,16.996740999864414,16.996740999864414,16.996740999864414,16.996740999864414,17.995773499831557,17.995773499831557,18.648671600036323,c,1,0.6495536998845637,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,7,3,1,z,1,0.36531340004876256,None,1,3,7,3,,,,,18.662288599880412,,18.64897709991783,18.662288599880412,19.662241799989715,19.662241799989715,19.662241799989715,19.662241799989715,19.662241799989715,20.66336439992301,20.66336439992301,21.032573099946603,z,1,0.36531340004876256,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,8,0,2,x,1,0.5491970998700708,None,2,0,8,0,,,,,21.045632999856025,,21.03281779983081,21.045632999856025,22.045739899855107,22.045739899855107,22.045739899855107,22.045739899855107,22.045739899855107,23.045452099991962,23.045452099991962,23.599012299906462,x,1,0.5491970998700708,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,9,1,2,v,1,0.7375523999799043,None,2,1,9,1,,,,,23.612538599874824,,23.599269500002265,23.612538599874824,24.612005800008774,24.612005800008774,24.612005800008774,24.612005800008774,24.612005800008774,25.61189729999751,25.61189729999751,26.36474799993448,v,1,0.7375523999799043,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
