reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,t,6.270436899969354,None,0,0,0,6,0.08319440018385649,,0.07628030003979802,0.08319440018385649,0.9930736999958754,0.9930736999958754,1.076869900105521,7.274397500092164,t,6.270436899969354,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
40,55,62,1,1,0,l,0.22125039994716644,None,0,1,1,3,7.29441440012306,,7.282821200089529,7.29441440012306,8.265510300174356,8.265510300174356,8.286193000152707,8.48894890001975,l,0.22125039994716644,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
11,30,7,2,2,0,t,0.29050990007817745,None,0,2,2,0,8.505804000189528,,8.496338400058448,8.505804000189528,9.484877899987623,9.484877899987623,9.498494100058451,9.777062300127,t,0.29050990007817745,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
15,35,13,3,3,0,l,0.15013269986957312,None,0,3,3,1,9.785943000111729,,9.781703800195828,9.785943000111729,10.772480100160465,10.772480100160465,10.779498600168154,10.925791600020602,l,0.15013269986957312,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
67,75,119,4,4,0,t,0.3341653998941183,None,0,4,4,5,10.943352400092408,,10.93119730008766,10.943352400092408,11.915470400126651,11.915470400126651,11.936155800009146,12.256014500046149,t,0.3341653998941183,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
49,60,89,5,5,0,l,0.11394160008057952,None,0,5,5,4,12.264617300126702,,12.260006200056523,12.264617300126702,13.251011500135064,13.251011500135064,13.257556000025943,13.369624400045723,l,0.11394160008057952,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
27,50,21,6,6,0,t,0.10963349998928607,None,0,6,6,2,13.378958400106058,,13.37404360016808,13.378958400106058,14.365402800031006,14.365402800031006,14.372445899993181,14.477033000206575,t,0.10963349998928607,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
67,75,119,7,0,1,l,0.10501130018383265,None,1,0,7,5,14.485252000158653,,14.48055010009557,14.485252000158653,15.471680500078946,15.471680500078946,15.478638200089335,15.583044500090182,l,0.10501130018383265,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
40,55,62,8,1,1,l,0.16124129993841052,None,1,1,8,3,15.591744100209326,,15.587112600216642,15.591744100209326,16.581821700092405,16.581821700092405,16.581821700092405,16.74868499999866,l,0.16124129993841052,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
27,50,21,9,2,1,l,0.07440899987705052,None,1,2,9,2,16.757485500071198,,16.752698900178075,16.757485500071198,17.743795600021258,17.743795600021258,17.750858400017023,17.820764400064945,l,0.07440899987705052,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
78,80,162,10,3,1,l,0.013964900048449636,None,1,3,10,6,17.829417100176215,,17.82461650017649,17.829417100176215,18.81586440000683,18.81586440000683,18.823470100061968,18.830502700060606,l,0.013964900048449636,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
49,60,89,11,4,1,t,0.06266999989748001,None,1,4,11,4,18.839496500091627,,18.834359200205654,18.839496500091627,19.826624000212178,19.826624000212178,19.83262260002084,19.895607700105757,t,0.06266999989748001,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
15,35,13,12,5,1,t,0.04264990007504821,None,1,5,12,1,19.904447100125253,,19.90006130002439,19.904447100125253,20.890859400155023,20.890859400155023,20.897807800211012,20.93976730015129,t,0.04264990007504821,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
11,30,7,13,6,1,l,0.06574749993160367,None,1,6,13,0,20.94702840014361,,20.943388800136745,20.94702840014361,21.93363180011511,21.93363180011511,21.940238800132647,22.003458900144324,l,0.06574749993160367,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
49,60,89,14,0,2,t,0.0416357999201864,None,2,0,14,4,22.011387300211936,,22.007257900200784,22.011387300211936,22.99786110012792,22.99786110012792,23.004885900067165,23.046890000114217,t,0.0416357999201864,None,4,001,2025-11-03_13h23.07.250,untitled,,2025.1.1,72.19836063456263,2025-11-03 13h23.14.146185 +0530,
