stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03673629998229444,,0.023510799976065755,0.03673629998229444,0.5023128999164328,0.5023128999164328,0.5362800000002608,0.8031640999251977,1.631289599929005,left,-10.0,0,0,1.1108402999816462,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
1,1,12.0,1.6524735999992117,,1.6315564999822527,1.6524735999992117,2.1359056999208406,2.1359056999208406,2.1527971999021247,2.4360856999410316,2.824824799899943,left,-12.0,1,1,0.6814341000281274,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
2,1,11.0,2.8361685998970643,,2.82509299996309,2.8361685998970643,3.335633899900131,3.335633899900131,3.335633899900131,3.6362197999842465,3.841089199995622,right,11.0,1,1,0.49571669998113066,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
3,1,11.0,3.8531293999403715,,3.8412656999425963,3.8531293999403715,4.353071899968199,4.353071899968199,4.353071899968199,4.653331299894489,5.124383599963039,right,11.0,1,1,0.7555913999676704,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
4,1,11.0,5.135800399933942,,5.124642699956894,5.135800399933942,5.635851699975319,5.635851699975319,5.635851699975319,5.936255499953404,6.240751300007105,right,11.0,1,1,0.6042277000378817,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
5,1,10.0,6.254049799987115,,6.241018499946222,6.254049799987115,6.752605599933304,6.752605599933304,6.769837399944663,7.053006200003438,7.258023599977605,right,10.0,1,1,0.5038678999990225,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
6,1,10.0,7.269419099902734,,7.258298299973831,7.269419099902734,7.768955899984576,7.768955899984576,7.768955899984576,8.069246599916369,8.156141499988735,right,10.0,1,1,0.3781846999190748,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
7,1,10.0,8.169176199939102,,8.15633919998072,8.169176199939102,8.669073799974285,8.669073799974285,8.669073799974285,8.96923229994718,9.090312099899165,right,10.0,1,1,0.41886480001267046,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
8,1,9.0,9.102487499942072,,9.090577999944799,9.102487499942072,9.60226769989822,9.60226769989822,9.60226769989822,9.902494799927808,10.12324359989725,left,-9.0,1,1,0.504386099986732,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
9,1,9.0,10.13572949997615,,10.123442999902181,10.13572949997615,10.635637699975632,10.635637699975632,10.635637699975632,10.936150099965744,11.107310599996708,right,9.0,1,1,0.4628050000173971,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
10,1,9.0,11.12005019991193,,11.107582599972375,11.12005019991193,11.61916849995032,11.61916849995032,11.635644399910234,11.919237799942493,12.22331289993599,right,9.0,1,1,0.5957314000697806,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
11,1,8.0,12.235310299904086,,12.223515999969095,12.235310299904086,12.7363086999394,12.7363086999394,12.7363086999394,13.036378899938427,13.440893299994059,right,8.0,1,1,0.6957695999881253,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
12,1,8.0,13.452524299966171,,13.441152999992482,13.452524299966171,13.952178599894978,13.952178599894978,13.952178599894978,14.254047099966556,14.456131699960679,left,-8.0,1,1,0.4943306000204757,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
13,1,8.0,14.469100299989805,,14.456326699932106,14.469100299989805,14.968380099977367,14.968380099977367,14.968380099977367,15.269022799911909,15.472959999926388,right,8.0,1,1,0.4875359000870958,pilot,001,2025-08-31_20h38.47.102,untitled,,2025.1.1,59.82961720033379,2025-08-31 20h38.48.804946 +0530,
